I0330 19:47:50.263575 accounts/keystore/account_cache.go:228] reloaded keys, cache has 1 accounts
I0330 19:47:50.263650 accounts/keystore/watch.go:74] now watching /home/alex/.ethereum/testnet/keystore
I0330 19:47:50.264779 accounts/keystore/account_cache.go:228] reloaded keys, cache has 1 accounts
I0330 19:47:50.265258 ethdb/database.go:83] Allotted 128MB cache and 1024 file handles to /home/alex/.ethereum/testnet/geth/chaindata
I0330 19:47:50.490393 ethdb/database.go:176] closed db:/home/alex/.ethereum/testnet/geth/chaindata
I0330 19:47:50.492254 node/node.go:176] instance: Geth/v1.5.9-stable-a07539fb/linux/go1.7.3
I0330 19:47:50.492373 ethdb/database.go:83] Allotted 128MB cache and 1024 file handles to /home/alex/.ethereum/testnet/geth/chaindata
I0330 19:47:50.552163 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ab
I0330 19:47:50.552276 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000b7
I0330 19:47:50.552328 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000d5
I0330 19:47:50.552376 core/state/statedb.go:455] (+) 000000000000000000000000000000000000002f
I0330 19:47:50.552417 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000091
I0330 19:47:50.552455 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000f7
I0330 19:47:50.552492 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000060
I0330 19:47:50.552529 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000066
I0330 19:47:50.552568 core/state/statedb.go:455] (+) 000000000000000000000000000000000000000a
I0330 19:47:50.552609 core/state/statedb.go:455] (+) 000000000000000000000000000000000000009e
I0330 19:47:50.552646 core/state/statedb.go:455] (+) 000000000000000000000000000000000000000b
I0330 19:47:50.552682 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000028
I0330 19:47:50.552729 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000bc
I0330 19:47:50.552779 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000d7
I0330 19:47:50.552826 core/state/statedb.go:455] (+) 000000000000000000000000000000000000004d
I0330 19:47:50.552871 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000056
I0330 19:47:50.552920 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000075
I0330 19:47:50.552961 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000082
I0330 19:47:50.552998 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000b9
I0330 19:47:50.553034 core/state/statedb.go:455] (+) 000000000000000000000000000000000000003c
I0330 19:47:50.553070 core/state/statedb.go:455] (+) 000000000000000000000000000000000000006b
I0330 19:47:50.553107 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000068
I0330 19:47:50.553145 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000e4
I0330 19:47:50.553183 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000009
I0330 19:47:50.553214 core/state/state_object.go:257] 0000000000000000000000000000000000000009: #0 1 (+ 1)
I0330 19:47:50.553258 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000b3
I0330 19:47:50.553295 core/state/statedb.go:455] (+) 000000000000000000000000000000000000008c
I0330 19:47:50.553334 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000003
I0330 19:47:50.553366 core/state/state_object.go:257] 0000000000000000000000000000000000000003: #0 1 (+ 1)
I0330 19:47:50.553404 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000dd
I0330 19:47:50.553440 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000059
I0330 19:47:50.553477 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000058
I0330 19:47:50.553514 core/state/statedb.go:455] (+) 000000000000000000000000000000000000007a
I0330 19:47:50.553553 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000096
I0330 19:47:50.553589 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000076
I0330 19:47:50.553627 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000d2
I0330 19:47:50.553695 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000032
I0330 19:47:50.553734 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000077
I0330 19:47:50.553771 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000053
I0330 19:47:50.553808 core/state/statedb.go:455] (+) 000000000000000000000000000000000000007d
I0330 19:47:50.553845 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000051
I0330 19:47:50.553881 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000078
I0330 19:47:50.553918 core/state/statedb.go:455] (+) 000000000000000000000000000000000000002a
I0330 19:47:50.553955 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000025
I0330 19:47:50.553990 core/state/statedb.go:455] (+) 000000000000000000000000000000000000003d
I0330 19:47:50.554027 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000005
I0330 19:47:50.554056 core/state/state_object.go:257] 0000000000000000000000000000000000000005: #0 1 (+ 1)
I0330 19:47:50.554098 core/state/statedb.go:455] (+) 000000000000000000000000000000000000007c
I0330 19:47:50.554135 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000c2
I0330 19:47:50.554170 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000f3
I0330 19:47:50.554205 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000043
I0330 19:47:50.554241 core/state/statedb.go:455] (+) 000000000000000000000000000000000000003a
I0330 19:47:50.554279 core/state/statedb.go:455] (+) 000000000000000000000000000000000000005b
I0330 19:47:50.554316 core/state/statedb.go:455] (+) 000000000000000000000000000000000000008b
I0330 19:47:50.554352 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000a0
I0330 19:47:50.554389 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000a5
I0330 19:47:50.554430 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000018
I0330 19:47:50.554472 core/state/statedb.go:455] (+) 000000000000000000000000000000000000002b
I0330 19:47:50.554511 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000db
I0330 19:47:50.554566 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000065
I0330 19:47:50.554606 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000099
I0330 19:47:50.554643 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000fe
I0330 19:47:50.554682 core/state/statedb.go:455] (+) 000000000000000000000000000000000000005a
I0330 19:47:50.554719 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000000
I0330 19:47:50.554749 core/state/state_object.go:257] 0000000000000000000000000000000000000000: #0 1 (+ 1)
I0330 19:47:50.554786 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000024
I0330 19:47:50.554823 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ea
I0330 19:47:50.554860 core/state/statedb.go:455] (+) 000000000000000000000000000000000000003f
I0330 19:47:50.554895 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000004
I0330 19:47:50.554929 core/state/state_object.go:257] 0000000000000000000000000000000000000004: #0 1 (+ 1)
I0330 19:47:50.554967 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ce
I0330 19:47:50.555003 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000f1
I0330 19:47:50.555039 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000002
I0330 19:47:50.555069 core/state/state_object.go:257] 0000000000000000000000000000000000000002: #0 1 (+ 1)
I0330 19:47:50.555105 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000008
I0330 19:47:50.555133 core/state/state_object.go:257] 0000000000000000000000000000000000000008: #0 1 (+ 1)
I0330 19:47:50.555169 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000a8
I0330 19:47:50.555204 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000071
I0330 19:47:50.555241 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000007
I0330 19:47:50.555327 core/state/state_object.go:257] 0000000000000000000000000000000000000007: #0 1 (+ 1)
I0330 19:47:50.555373 core/state/statedb.go:455] (+) 000000000000000000000000000000000000001a
I0330 19:47:50.555411 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000fb
I0330 19:47:50.555447 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000d4
I0330 19:47:50.555482 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000049
I0330 19:47:50.555521 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000062
I0330 19:47:50.555558 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000d8
I0330 19:47:50.555595 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000b6
I0330 19:47:50.555632 core/state/statedb.go:455] (+) 000000000000000000000000000000000000007f
I0330 19:47:50.555670 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000010
I0330 19:47:50.555707 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000081
I0330 19:47:50.555743 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000033
I0330 19:47:50.555779 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ef
I0330 19:47:50.555815 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000006
I0330 19:47:50.555844 core/state/state_object.go:257] 0000000000000000000000000000000000000006: #0 1 (+ 1)
I0330 19:47:50.555884 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000088
I0330 19:47:50.555920 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000da
I0330 19:47:50.555955 core/state/statedb.go:455] (+) 000000000000000000000000000000000000002d
I0330 19:47:50.555991 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000027
I0330 19:47:50.556033 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000095
I0330 19:47:50.556075 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000084
I0330 19:47:50.556113 core/state/statedb.go:455] (+) 000000000000000000000000000000000000004f
I0330 19:47:50.556148 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000f0
